year,month,day,u1060S
1981,2,9,1.1074862
1981,2,10,0.24336243
1981,2,11,-0.291759
1981,2,12,-0.029319763
1981,2,13,0.40645885
1981,2,14,0.9467468
1981,2,15,1.5954866
1981,2,16,2.0227008
1981,2,17,2.2777247
1981,2,18,1.4960961
1981,2,19,0.8301964
1981,2,20,0.1903286
1981,2,21,-0.9061723
1981,2,22,-1.3335571
1981,2,23,-0.81900454
1981,2,24,-0.67474365
1981,2,25,-0.32956982
1981,2,26,-0.1852727
1981,2,27,-0.9182272
1981,2,28,-1.3608141
1981,3,1,-2.2277684
1981,3,2,-2.8519568
1981,3,3,-3.4669542
1981,3,4,-3.477037
1981,3,5,-2.6172419
1981,3,6,-1.2606802
1981,3,7,-0.7174978
1981,3,8,-1.1066847
1981,3,9,-1.8567896
1981,3,10,-2.6799402
1981,3,11,-2.857009
1981,3,12,-2.9536858
1981,3,13,-3.1931276
1981,3,14,-3.8220167
1981,3,15,-3.7003422
1981,3,16,-3.1000566
1981,3,17,-2.4537735
1981,3,18,-2.5553818
1981,3,19,-2.4538288
1981,3,20,-2.3091812
1981,3,21,-1.704937
1981,3,22,-1.3988886
1981,3,23,-1.2528219
1981,3,24,-1.066783
1981,3,25,-1.8860283
1981,3,26,-2.7140303
1981,3,27,-3.1707325
1981,3,28,-3.573079
1981,3,29,-3.1916056
1981,3,30,-3.2043924
1981,3,31,-3.6346245
1981,4,1,-4.096858
1981,4,2,-4.6460667
1981,4,3,-4.8995914
1981,4,4,-4.4619455
1981,4,5,-4.3903246
1981,4,6,-4.641032
1981,4,7,-4.937418
1981,4,8,-4.9207115
1981,4,9,-4.4791985
1981,4,10,-3.6279545
1981,4,11,-3.538662
1981,4,12,-3.2936802
1981,4,13,-2.5432358
1981,4,14,-2.7652302
1981,4,15,-3.4395561
1981,4,16,-3.2904816
1981,4,17,-2.7986336
1981,4,18,-2.1609516
1981,4,19,-2.9813786
1981,4,20,-4.2905273
1981,4,21,-4.5197067
1981,4,22,-4.0432377
1981,4,23,-3.9008617
1981,4,24,-3.526102
1981,4,25,-3.9214535
1981,4,26,-4.6801205
1981,4,27,-4.279646
1981,4,28,-3.7020683
1981,4,29,-3.7243633
1981,4,30,-4.250021
1981,5,1,-3.34383
1981,5,2,-2.8513165
1981,5,3,-2.795538
1981,5,4,-2.9523659
1981,5,5,-2.2223701
1981,5,6,-1.5517559
1981,5,7,-2.6422749
1981,5,8,-3.7712002
1981,5,9,-4.861145
1981,5,10,-5.452896
1981,5,11,-6.592697
1981,5,12,-6.509302
1981,5,13,-3.9625893
1981,5,14,-2.6552296
1981,5,15,-3.431345
1981,5,16,-4.7593403
1981,5,17,-3.8545742
1981,5,18,-2.1890106
1981,5,19,-1.239418
1981,5,20,-0.80545807
1981,5,21,-1.4855576
1981,5,22,-1.0025063
1981,5,23,-0.1956749
1981,5,24,1.3693695
1981,5,25,2.4650955
1981,5,26,1.4661674
1981,5,27,0.19222641
1981,5,28,0.108947754
1981,5,29,-0.24616623
1981,5,30,-0.8062401
1981,5,31,-1.0855103
1981,6,1,-0.3817482
1981,6,2,-2.1942978
1981,6,3,-4.7611923
1981,6,4,-6.003704
1981,6,5,-5.3135357
1981,6,6,-5.1651897
1981,6,7,-4.6829453
1981,6,8,-3.880516
1981,6,9,-5.084404
1981,6,10,-5.6809883
1981,6,11,-3.3902092
1981,6,12,-1.6514435
1981,6,13,-1.269722
