year,month,day,u1060S
1980,11,13,-0.5239248
1980,11,14,-1.0686784
1980,11,15,-1.4750516
1980,11,16,-1.6061897
1980,11,17,-3.2473843
1980,11,18,-3.225052
1980,11,19,-3.5770295
1980,11,20,-5.546722
1980,11,21,-7.8301764
1980,11,22,-10.712134
1980,11,23,-12.543467
1980,11,24,-14.961368
1980,11,25,-16.42874
1980,11,26,-17.58152
1980,11,27,-17.62106
1980,11,28,-17.071882
1980,11,29,-16.086676
1980,11,30,-15.332933
1980,12,1,-14.877409
1980,12,2,-14.679468
1980,12,3,-14.345649
1980,12,4,-13.580297
1980,12,5,-12.895505
1980,12,6,-12.351965
1980,12,7,-11.216801
1980,12,8,-10.356424
1980,12,9,-9.658552
1980,12,10,-9.106013
1980,12,11,-8.559265
1980,12,12,-7.7379494
1980,12,13,-7.2218504
1980,12,14,-6.507968
1980,12,15,-5.8990307
1980,12,16,-5.582902
1980,12,17,-5.6592684
1980,12,18,-5.370476
1980,12,19,-5.1105843
1980,12,20,-4.7457066
1980,12,21,-4.285447
1980,12,22,-3.9107885
1980,12,23,-3.382347
1980,12,24,-2.9098186
1980,12,25,-2.445569
1980,12,26,-1.9775867
1980,12,27,-2.041853
1980,12,28,-1.9464712
1980,12,29,-2.0780106
1980,12,30,-1.8780937
1980,12,31,-1.5733747
1981,1,1,-1.2291441
1981,1,2,-0.9509764
1981,1,3,-0.7988405
1981,1,4,-0.8333683
1981,1,5,-0.6510763
1981,1,6,-0.6152477
1981,1,7,-0.524539
1981,1,8,-0.13313484
1981,1,9,0.09586716
1981,1,10,-0.12656021
1981,1,11,-0.14509964
1981,1,12,-0.06509781
1981,1,13,-0.18256474
1981,1,14,-0.029377937
1981,1,15,-0.016905785
1981,1,16,0.21691704
1981,1,17,0.38026524
1981,1,18,-0.01708126
1981,1,19,-0.39575958
1981,1,20,-0.47281933
1981,1,21,-0.57788944
1981,1,22,-0.98211575
1981,1,23,-0.83023167
1981,1,24,0.06763363
1981,1,25,0.6399965
1981,1,26,0.6970825
1981,1,27,0.65804577
1981,1,28,0.85462284
1981,1,29,0.55787134
1981,1,30,0.13347912
1981,1,31,-0.13008165
1981,2,1,-0.31254244
1981,2,2,-0.018603325
1981,2,3,0.06783819
1981,2,4,-0.15896177
1981,2,5,-0.13027334
1981,2,6,-0.31471682
1981,2,7,-0.29401016
1981,2,8,0.0277915
1981,2,9,0.20446086
1981,2,10,0.15531969
1981,2,11,0.10800767
1981,2,12,0.15188456
1981,2,13,0.24621046
1981,2,14,0.5994751
1981,2,15,1.0338864
1981,2,16,1.2346783
1981,2,17,1.4767702
1981,2,18,1.5149254
1981,2,19,1.302177
1981,2,20,1.1085199
1981,2,21,0.8157737
1981,2,22,0.53682184
1981,2,23,0.673321
1981,2,24,0.83320403
1981,2,25,0.44919443
1981,2,26,-0.1318965
1981,2,27,-0.79779625
1981,2,28,-1.0909257
1981,3,1,-1.1049757
1981,3,2,-0.8421378
1981,3,3,-0.6489773
1981,3,4,-0.47376585
1981,3,5,0.014397621
1981,3,6,0.54049015
1981,3,7,0.44458675
1981,3,8,-0.34558392
1981,3,9,-1.4250431
1981,3,10,-2.2770386
1981,3,11,-2.58603
1981,3,12,-2.0581026
1981,3,13,-2.0141106
1981,3,14,-2.115035
1981,3,15,-1.448967
1981,3,16,-0.82448673
1981,3,17,-0.44101715
1981,3,18,0.013081551
1981,3,19,0.20163918
1981,3,20,-0.38727856
1981,3,21,-1.4393272
1981,3,22,-3.138976
1981,3,23,-5.151308
1981,3,24,-6.044632
1981,3,25,-5.571802
1981,3,26,-5.784601
1981,3,27,-6.285409
1981,3,28,-7.240286
1981,3,29,-7.3018093
1981,3,30,-6.3581133
1981,3,31,-6.055291
1981,4,1,-7.458597
1981,4,2,-9.230624
1981,4,3,-9.165908
1981,4,4,-6.882328
1981,4,5,-4.1978416
1981,4,6,-2.0134277
1981,4,7,-1.2030411
1981,4,8,-1.6741772
1981,4,9,-1.5326958
1981,4,10,-2.4794807
1981,4,11,-4.274006
1981,4,12,-4.882839
1981,4,13,-5.040043
1981,4,14,-4.2090855
1981,4,15,-3.1606922
1981,4,16,-2.3325195
1981,4,17,-4.720024
1981,4,18,-8.03455
1981,4,19,-11.217293
1981,4,20,-13.248852
1981,4,21,-13.658653
1981,4,22,-12.555412
1981,4,23,-11.048012
1981,4,24,-10.106268
1981,4,25,-10.966084
1981,4,26,-12.512724
1981,4,27,-13.072248
1981,4,28,-11.2717705
1981,4,29,-9.914495
1981,4,30,-8.727692
1981,5,1,-6.4752235
1981,5,2,-3.1740532
1981,5,3,-1.8930626
1981,5,4,-1.2522697
1981,5,5,-1.0930672
1981,5,6,-1.4706688
1981,5,7,-1.3848763
1981,5,8,-3.9893494
1981,5,9,-8.165581
1981,5,10,-11.169804
1981,5,11,-12.862022
1981,5,12,-12.691658
1981,5,13,-11.346611
1981,5,14,-9.606831
1981,5,15,-8.923946
1981,5,16,-8.48513
1981,5,17,-8.313255
1981,5,18,-6.5639954
1981,5,19,-3.9909096
1981,5,20,-3.713749
1981,5,21,-3.2854652
1981,5,22,-2.4226837
1981,5,23,-1.904953
1981,5,24,-1.0571175
1981,5,25,-0.4703369
1981,5,26,0.0026054382
1981,5,27,-0.21256638
1981,5,28,-0.3131752
1981,5,29,-1.2077866
1981,5,30,-1.5901031
1981,5,31,-1.3969879
1981,6,1,-2.2469254
1981,6,2,-3.7895508
1981,6,3,-6.6607704
1981,6,4,-9.129711
1981,6,5,-7.329075
1981,6,6,-6.1097946
1981,6,7,-4.929508
1981,6,8,-4.842037
1981,6,9,-7.5464706
1981,6,10,-8.796391
1981,6,11,-7.2956047
1981,6,12,-6.5264244
1981,6,13,-6.423298
1981,6,14,-5.9155617
1981,6,15,-5.0127487
1981,6,16,-5.7200623
1981,6,17,-5.956894
1981,6,18,-7.050743
1981,6,19,-7.628399
1981,6,20,-7.872917
1981,6,21,-5.431389
1981,6,22,-4.2955475
1981,6,23,-4.0644264
1981,6,24,-5.0548096
1981,6,25,-6.3011665
1981,6,26,-6.7122993
1981,6,27,-9.296684
1981,6,28,-10.073917
1981,6,29,-10.242111
1981,6,30,-8.713448
1981,7,1,-8.241947
1981,7,2,-7.3435287
1981,7,3,-7.4564667
1981,7,4,-9.644478
1981,7,5,-11.952263
1981,7,6,-11.73991
1981,7,7,-10.195995
1981,7,8,-10.980438
1981,7,9,-11.397186
1981,7,10,-8.761002
1981,7,11,-7.7320175
1981,7,12,-10.259144
1981,7,13,-12.882927
1981,7,14,-11.076286
1981,7,15,-9.7387085
1981,7,16,-9.861763
1981,7,17,-11.903709
1981,7,18,-10.639938
1981,7,19,-9.848793
1981,7,20,-9.867592
1981,7,21,-10.797386
1981,7,22,-11.988686
1981,7,23,-13.041893
1981,7,24,-13.124069
1981,7,25,-13.023926
1981,7,26,-13.803268
1981,7,27,-14.81971
1981,7,28,-17.296623
1981,7,29,-16.984657
1981,7,30,-14.730606
1981,7,31,-13.626518
1981,8,1,-14.210022
1981,8,2,-14.738022
1981,8,3,-13.518906
1981,8,4,-11.37188
1981,8,5,-10.198723
1981,8,6,-11.087364
1981,8,7,-10.17128
1981,8,8,-10.007492
1981,8,9,-11.158379
1981,8,10,-11.241196
1981,8,11,-12.850792
1981,8,12,-12.486748
1981,8,13,-10.973633
1981,8,14,-8.759743
1981,8,15,-5.1746902
1981,8,16,-4.0450974
1981,8,17,-4.5246887
1981,8,18,-4.9614105
1981,8,19,-6.520645
1981,8,20,-6.742569
1981,8,21,-6.3945236
1981,8,22,-7.692627
1981,8,23,-5.617485
1981,8,24,-5.4698563
1981,8,25,-6.713005
1981,8,26,-7.198921
1981,8,27,-6.706497
1981,8,28,-5.8214035
1981,8,29,-1.1925278
1981,8,30,0.11733246
1981,8,31,0.82793427
1981,9,1,1.5809784
1981,9,2,0.53660583
1981,9,3,0.69773865
1981,9,4,-0.5009079
1981,9,5,-1.8935852
1981,9,6,-0.9765167
1981,9,7,1.5062485
1981,9,8,-2.0989685
1981,9,9,-9.052925
1981,9,10,-8.563416
1981,9,11,-1.1585312
1981,9,12,-1.9757538
1981,9,13,-2.5258484
1981,9,14,1.9606171
1981,9,15,5.822136
1981,9,16,6.7932434
1981,9,17,1.8039627
1981,9,18,-2.3662949
1981,9,19,-4.7209244
1981,9,20,-5.66024
1981,9,21,-8.500977
1981,9,22,-11.967514
1981,9,23,-12.609016
1981,9,24,-9.773052
1981,9,25,-7.5516853
1981,9,26,-5.0455475
1981,9,27,-1.202488
1981,9,28,-2.1791573
1981,9,29,0.491436
1981,9,30,5.0586433
1981,10,1,5.852463
1981,10,2,6.4116592
1981,10,3,9.878513
1981,10,4,7.663868
1981,10,5,7.0328217
1981,10,6,6.7793427
1981,10,7,6.2501335
1981,10,8,9.50713
